Treatment,Sc,Hm,Bb,Total,Alive
1,100,0,0,100,6
2,100,0,0,100,6
3,100,0,0,100,9
4,400,0,0,400,7
5,400,0,0,400,7
6,400,0,0,400,7
7,1000,0,0,1000,6
8,1000,0,0,1000,6
9,1000,0,0,1000,6
10,4000,0,0,4000,3
11,4000,0,0,4000,4
12,4000,0,0,4000,5
13,10000,0,0,10000,3
14,10000,0,0,10000,2
15,10000,0,0,10000,3
16,0,100,0,100,8
17,0,100,0,100,5
18,0,100,0,100,5
19,0,400,0,400,6
20,0,400,0,400,7
21,0,400,0,400,8
22,0,1000,0,1000,4
23,0,1000,0,1000,4
24,0,1000,0,1000,4
25,0,4000,0,4000,4
26,0,4000,0,4000,4
27,0,4000,0,4000,3
28,0,10000,0,10000,3
29,0,10000,0,10000,3
30,0,10000,0,10000,4
31,0,0,100,100,8
32,0,0,100,100,8
33,0,0,100,100,7
34,0,0,400,400,5
35,0,0,400,400,8
36,0,0,400,400,4
37,0,0,1000,1000,4
38,0,0,1000,1000,5
39,0,0,1000,1000,5
40,0,0,4000,4000,7
41,0,0,4000,4000,3
42,0,0,4000,4000,2
43,0,0,10000,10000,3
44,0,0,10000,10000,5
45,0,0,10000,10000,3
46,5,5,90,100,7
47,5,5,90,100,9
48,5,5,90,100,7
49,5,90,5,100,7
50,5,90,5,100,7
51,5,90,5,100,6
52,90,5,5,100,8
53,90,5,5,100,8
54,90,5,5,100,5
55,20,20,360,400,5
56,20,20,360,400,6
57,20,20,360,400,8
58,20,360,20,400,6
59,20,360,20,400,6
60,20,360,20,400,4
61,360,20,20,400,6
62,360,20,20,400,8
63,360,20,20,400,7
64,50,50,900,1000,9
65,50,50,900,1000,8
66,50,50,900,1000,7
67,50,900,50,1000,6
68,50,900,50,1000,5
69,50,900,50,1000,5
70,900,50,50,1000,6
71,900,50,50,1000,4
72,900,50,50,1000,2
73,200,200,3600,4000,4
74,200,200,3600,4000,6
75,200,200,3600,4000,4
76,200,3600,200,4000,1
77,200,3600,200,4000,2
78,200,3600,200,4000,6
79,3600,200,200,4000,3
80,3600,200,200,4000,2
81,3600,200,200,4000,3
82,500,500,9000,10000,4
83,500,500,9000,10000,3
84,500,500,9000,10000,4
85,500,9000,500,10000,0
86,500,9000,500,10000,3
87,500,9000,500,10000,3
88,9000,500,500,10000,1
89,9000,500,500,10000,2
90,9000,500,500,10000,0
91,20,20,60,100,7
92,20,20,60,100,4
93,20,20,60,100,5
94,20,60,20,100,6
95,20,60,20,100,5
96,20,60,20,100,8
97,60,20,20,100,6
98,60,20,20,100,5
99,60,20,20,100,2
100,80,80,240,400,8
101,80,80,240,400,5
102,80,80,240,400,5
103,80,240,80,400,6
104,80,240,80,400,7
105,80,240,80,400,6
106,240,80,80,400,7
107,240,80,80,400,8
108,240,80,80,400,6
109,200,200,600,1000,4
110,200,200,600,1000,6
111,200,200,600,1000,3
112,200,600,200,1000,5
113,200,600,200,1000,7
114,200,600,200,1000,2
115,600,200,200,1000,5
116,600,200,200,1000,5
117,600,200,200,1000,6
118,800,800,2400,4000,2
119,800,800,2400,4000,4
120,800,800,2400,4000,3
121,800,2400,800,4000,2
122,800,2400,800,4000,3
123,800,2400,800,4000,5
124,2400,800,800,4000,4
125,2400,800,800,4000,2
126,2400,800,800,4000,4
127,2000,2000,6000,10000,1
128,2000,2000,6000,10000,2
129,2000,2000,6000,10000,0
130,2000,6000,2000,10000,1
131,2000,6000,2000,10000,1
132,2000,6000,2000,10000,0
133,6000,2000,2000,10000,0
134,6000,2000,2000,10000,0
135,6000,2000,2000,10000,1
136,33,33,33,100,7
137,33,33,33,100,4
138,33,33,33,100,8
139,33,33,33,100,4
140,33,33,33,100,7
141,33,33,33,100,4
142,133,133,133,400,2
143,133,133,133,400,7
144,133,133,133,400,5
145,133,133,133,400,3
146,133,133,133,400,4
147,133,133,133,400,5
148,333,333,333,1000,0
149,333,333,333,1000,4
150,333,333,333,1000,4
151,333,333,333,1000,4
152,333,333,333,1000,5
153,333,333,333,1000,1
154,1333,1333,1333,4000,0
155,1333,1333,1333,4000,0
156,1333,1333,1333,4000,0
157,1333,1333,1333,4000,0
158,1333,1333,1333,4000,5
159,1333,1333,1333,4000,2
160,3333,3333,3333,10000,0
161,3333,3333,3333,10000,0
162,3333,3333,3333,10000,0
163,3333,3333,3333,10000,0
164,3333,3333,3333,10000,0
165,3333,3333,3333,10000,1
166,0,0,0,0,10
167,0,0,0,0,7
168,0,0,0,0,9
169,0,0,0,0,6
170,0,0,0,0,6
